MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,FAIL
4,LIVE
5,LIVE
6,LIVE
7,LIVE
8,LIVE
9,LIVE
10,LIVE
50,LIVE
51,EXC
52,FAIL
53,FAIL
54,LIVE
55,LIVE
56,LIVE
57,LIVE
58,EXC
59,FAIL
60,FAIL
61,LIVE
62,LIVE
63,LIVE
121,FAIL
122,LIVE
123,LIVE
124,LIVE
125,LIVE
126,LIVE
127,LIVE
128,LIVE
129,LIVE
130,LIVE
131,LIVE
132,FAIL
133,LIVE
134,LIVE
135,LIVE
136,LIVE
137,LIVE
138,LIVE
139,LIVE
140,LIVE
141,LIVE
142,LIVE
143,LIVE
144,FAIL
145,LIVE
146,LIVE
147,FAIL
148,LIVE
149,LIVE
150,LIVE
151,LIVE
152,FAIL
153,LIVE
154,LIVE
155,LIVE
156,LIVE
157,LIVE
158,LIVE
159,LIVE
160,EXC
161,FAIL
162,EXC
163,FAIL
164,LIVE
165,EXC
166,EXC
167,LIVE
168,EXC
169,EXC
170,LIVE
171,EXC
172,LIVE
173,EXC
174,LIVE
175,EXC
176,FAIL
177,LIVE
178,EXC
179,FAIL
180,LIVE
181,FAIL
182,EXC
183,LIVE
184,EXC
186,LIVE
187,LIVE
188,LIVE
220,LIVE
221,LIVE
222,EXC
223,LIVE
224,EXC
225,LIVE
233,EXC
234,LIVE
235,EXC
236,LIVE
237,LIVE
238,EXC
239,LIVE
240,LIVE
241,LIVE
242,LIVE
243,LIVE
244,LIVE
245,LIVE
246,LIVE
247,EXC
248,LIVE
249,LIVE
250,EXC
251,LIVE
252,EXC
253,LIVE
259,EXC
260,LIVE
261,LIVE
262,LIVE
263,LIVE
264,EXC
265,LIVE
266,FAIL
267,FAIL
268,LIVE
269,LIVE
270,LIVE
271,LIVE
272,LIVE
273,LIVE
274,LIVE
275,LIVE
276,LIVE
277,LIVE
278,LIVE
279,LIVE
280,LIVE
281,EXC
282,FAIL
283,EXC
284,LIVE
285,FAIL
286,FAIL
287,LIVE
288,EXC
289,EXC
290,FAIL
291,EXC
292,FAIL
293,LIVE
294,EXC
295,EXC
296,LIVE
297,EXC
298,EXC
299,LIVE
300,EXC
301,LIVE
302,EXC
303,EXC
304,FAIL
305,EXC
306,LIVE
307,LIVE
308,LIVE
309,EXC
310,LIVE
311,EXC
312,EXC
313,LIVE
314,EXC
315,LIVE
316,EXC
317,LIVE
318,EXC
319,EXC
320,LIVE
321,EXC
322,EXC
323,LIVE
324,EXC
325,EXC
326,LIVE
327,EXC
328,LIVE
329,LIVE
330,EXC
331,LIVE
332,LIVE
333,FAIL
341,LIVE
342,EXC
343,EXC
344,LIVE
345,EXC
346,EXC
347,LIVE
348,EXC
349,LIVE
350,LIVE
351,LIVE
352,EXC
353,FAIL
354,EXC
355,LIVE
356,LIVE
357,EXC
358,FAIL
359,FAIL
360,LIVE
361,LIVE
362,FAIL
363,LIVE
364,EXC
365,EXC
366,LIVE
367,EXC
368,LIVE
376,EXC
377,LIVE
378,LIVE
379,LIVE
380,LIVE
381,EXC
382,LIVE
383,LIVE
384,LIVE
385,LIVE
386,LIVE
387,LIVE
388,EXC
389,LIVE
390,EXC
391,FAIL
392,FAIL
393,LIVE
394,LIVE
395,FAIL
396,FAIL
397,LIVE
398,EXC
469,LIVE
470,LIVE
471,FAIL
472,FAIL
473,LIVE
474,EXC
475,FAIL
476,EXC
477,FAIL
478,LIVE
479,FAIL
480,FAIL
481,FAIL
482,FAIL
483,FAIL
484,FAIL
485,LIVE
486,FAIL
487,FAIL
488,FAIL
489,FAIL
490,FAIL
491,LIVE
492,FAIL
493,EXC
494,LIVE
495,LIVE
496,EXC
497,FAIL
498,LIVE
499,EXC
500,FAIL
501,LIVE
502,EXC
503,FAIL
504,EXC
505,LIVE
506,LIVE
507,FAIL
508,FAIL
509,FAIL
510,FAIL
511,FAIL
512,LIVE
513,LIVE
514,FAIL
515,FAIL
516,FAIL
517,FAIL
518,FAIL
519,LIVE
520,EXC
521,FAIL
522,FAIL
523,FAIL
524,LIVE
525,EXC
526,FAIL
561,LIVE
562,LIVE
563,EXC
564,FAIL
565,LIVE
566,EXC
567,FAIL
568,LIVE
569,FAIL
570,LIVE
571,LIVE
572,FAIL
573,LIVE
574,LIVE
575,FAIL
576,LIVE
577,LIVE
578,LIVE
579,LIVE
580,FAIL
581,LIVE
