MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,EXC
4,FAIL
5,LIVE
6,EXC
7,LIVE
8,FAIL
9,LIVE
10,LIVE
11,EXC
12,EXC
13,EXC
14,LIVE
15,EXC
16,FAIL
17,LIVE
18,EXC
19,FAIL
20,EXC
21,FAIL
22,LIVE
23,LIVE
24,LIVE
25,FAIL
26,LIVE
27,EXC
28,LIVE
29,FAIL
30,LIVE
31,EXC
32,FAIL
33,LIVE
34,LIVE
35,LIVE
36,EXC
41,LIVE
42,EXC
43,FAIL
44,LIVE
45,LIVE
46,EXC
47,LIVE
48,FAIL
49,FAIL
50,LIVE
51,LIVE
52,LIVE
53,LIVE
54,LIVE
59,FAIL
60,EXC
61,EXC
62,EXC
63,FAIL
64,FAIL
65,LIVE
70,LIVE
71,EXC
72,FAIL
73,LIVE
74,LIVE
75,EXC
76,LIVE
77,EXC
78,LIVE
79,EXC
80,FAIL
82,LIVE
83,LIVE
84,LIVE
85,EXC
86,EXC
87,EXC
88,EXC
89,EXC
90,EXC
91,LIVE
92,LIVE
93,EXC
94,EXC
95,EXC
96,LIVE
97,EXC
98,EXC
99,EXC
100,EXC
101,LIVE
102,LIVE
103,EXC
104,LIVE
105,LIVE
106,EXC
107,EXC
108,EXC
109,EXC
110,EXC
111,EXC
112,EXC
113,EXC
114,EXC
115,EXC
116,EXC
117,EXC
118,LIVE
119,EXC
120,EXC
121,EXC
122,EXC
123,EXC
124,EXC
125,EXC
126,LIVE
127,EXC
128,EXC
129,EXC
163,FAIL
164,FAIL
165,LIVE
183,LIVE
184,EXC
185,FAIL
186,FAIL
187,FAIL
188,FAIL
189,EXC
190,LIVE
191,EXC
192,FAIL
193,FAIL
194,FAIL
195,FAIL
218,EXC
219,EXC
220,LIVE
