MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,FAIL
3,LIVE
4,LIVE
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,EXC
10,FAIL
11,FAIL
12,FAIL
13,EXC
14,EXC
15,FAIL
16,EXC
17,FAIL
18,EXC
19,FAIL
20,EXC
21,EXC
22,EXC
23,FAIL
24,FAIL
25,EXC
26,EXC
27,EXC
28,EXC
29,EXC
30,EXC
31,LIVE
32,EXC
33,EXC
34,LIVE
35,LIVE
36,EXC
37,LIVE
38,LIVE
39,EXC
40,LIVE
41,LIVE
42,LIVE
43,LIVE
44,LIVE
45,LIVE
46,LIVE
47,LIVE
48,LIVE
49,LIVE
82,EXC
83,LIVE
84,LIVE
85,EXC
86,EXC
87,EXC
88,EXC
89,FAIL
90,EXC
91,EXC
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,EXC
98,EXC
99,FAIL
100,EXC
101,EXC
102,EXC
103,EXC
104,EXC
105,LIVE
106,EXC
107,EXC
108,LIVE
109,EXC
110,FAIL
111,FAIL
112,FAIL
113,EXC
114,EXC
115,FAIL
116,EXC
117,LIVE
118,LIVE
119,FAIL
120,LIVE
121,EXC
122,EXC
123,EXC
124,FAIL
125,EXC
126,EXC
127,EXC
128,FAIL
129,FAIL
130,FAIL
131,FAIL
132,FAIL
133,LIVE
134,EXC
135,LIVE
136,EXC
137,FAIL
138,EXC
139,EXC
140,EXC
141,FAIL
142,LIVE
143,EXC
144,EXC
145,FAIL
146,EXC
147,EXC
148,LIVE
149,LIVE
150,EXC
