MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,EXC
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,EXC
9,EXC
10,FAIL
11,FAIL
12,LIVE
13,EXC
14,EXC
15,FAIL
16,EXC
17,EXC
18,FAIL
19,EXC
20,FAIL
21,EXC
22,EXC
23,EXC
24,FAIL
25,FAIL
26,LIVE
27,EXC
28,EXC
29,FAIL
30,EXC
31,EXC
32,FAIL
33,EXC
34,FAIL
35,EXC
36,EXC
37,EXC
38,FAIL
39,EXC
40,EXC
41,FAIL
42,EXC
43,FAIL
44,EXC
45,EXC
46,FAIL
47,FAIL
48,FAIL
49,FAIL
50,EXC
51,LIVE
52,FAIL
53,EXC
54,LIVE
55,FAIL
56,LIVE
57,FAIL
58,FAIL
59,EXC
60,EXC
61,EXC
62,EXC
63,EXC
64,EXC
65,EXC
66,EXC
67,EXC
68,LIVE
69,FAIL
70,EXC
71,LIVE
72,FAIL
73,LIVE
74,FAIL
75,FAIL
76,LIVE
77,FAIL
78,FAIL
79,LIVE
80,LIVE
81,FAIL
82,LIVE
83,LIVE
84,LIVE
85,LIVE
86,FAIL
87,EXC
88,EXC
89,EXC
90,EXC
91,EXC
92,EXC
93,EXC
94,EXC
95,LIVE
96,FAIL
97,EXC
98,LIVE
99,LIVE
100,LIVE
104,EXC
105,LIVE
106,LIVE
107,LIVE
108,LIVE
109,LIVE
110,FAIL
111,EXC
112,LIVE
113,EXC
114,LIVE
118,EXC
119,LIVE
120,LIVE
121,EXC
122,LIVE
123,LIVE
124,FAIL
125,EXC
126,LIVE
127,EXC
128,LIVE
129,EXC
130,EXC
131,FAIL
132,LIVE
133,EXC
134,FAIL
135,LIVE
136,EXC
137,EXC
138,FAIL
139,EXC
140,EXC
141,FAIL
142,LIVE
143,FAIL
144,FAIL
145,EXC
146,EXC
147,EXC
148,FAIL
149,EXC
150,EXC
151,FAIL
152,LIVE
153,FAIL
154,FAIL
155,EXC
156,LIVE
157,LIVE
158,FAIL
162,LIVE
163,LIVE
164,FAIL
165,LIVE
166,FAIL
167,FAIL
168,FAIL
169,FAIL
170,LIVE
171,LIVE
172,EXC
173,FAIL
174,EXC
175,FAIL
176,EXC
177,EXC
178,FAIL
179,FAIL
180,FAIL
181,EXC
182,LIVE
183,EXC
184,EXC
185,EXC
186,EXC
187,FAIL
188,FAIL
189,EXC
190,EXC
191,FAIL
192,FAIL
193,EXC
194,EXC
195,FAIL
196,LIVE
197,FAIL
198,LIVE
203,FAIL
204,EXC
205,EXC
206,EXC
207,FAIL
208,EXC
209,EXC
210,FAIL
211,LIVE
212,LIVE
213,LIVE
214,LIVE
215,LIVE
216,LIVE
217,FAIL
