TestNo,TestName
1,org.jfree.chart.plot.junit.DefaultDrawingSupplierTests
2,org.jfree.chart.junit.LegendItemCollectionTests
3,org.jfree.chart.block.junit.ColorBlockTests
4,org.jfree.chart.block.junit.EmptyBlockTests
5,org.jfree.chart.block.junit.AbstractBlockTests
6,org.jfree.chart.junit.LegendItemTests
7,org.jfree.chart.title.junit.LegendGraphicTests
8,org.jfree.chart.title.junit.TextTitleTests
9,org.jfree.chart.title.junit.CompositeTitleTests
10,org.jfree.chart.title.junit.DateTitleTests
11,org.jfree.chart.title.junit.ImageTitleTests
12,org.jfree.chart.plot.junit.PlotTests
13,org.jfree.chart.renderer.junit.DefaultPolarItemRendererTests
14,org.jfree.chart.plot.junit.CompassPlotTests
15,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests
16,org.jfree.chart.plot.junit.MeterPlotTests
17,org.jfree.chart.renderer.category.junit.LineRenderer3DTests
18,org.jfree.chart.renderer.category.junit.ScatterRendererTests
19,org.jfree.chart.renderer.xy.junit.VectorRendererTests
20,org.jfree.chart.renderer.xy.junit.WindItemRendererTests
21,org.jfree.chart.plot.junit.RingPlotTests
22,org.jfree.chart.renderer.category.junit.DefaultCategoryItemRendererTests
23,org.jfree.chart.renderer.xy.junit.XYLine3DRendererTests
24,org.jfree.chart.renderer.category.junit.StackedAreaRendererTests
25,org.jfree.chart.renderer.xy.junit.HighLowRendererTests
26,org.jfree.chart.renderer.xy.junit.XYErrorRendererTests
27,org.jfree.chart.renderer.xy.junit.XYSplineAndShapeRendererTests
28,org.jfree.chart.title.junit.PaintScaleLegendTests
29,org.jfree.chart.renderer.category.junit.BarRenderer3DTests
30,org.jfree.chart.renderer.category.junit.GanttRendererTests
31,org.jfree.chart.renderer.category.junit.StackedBarRendererTests
32,org.jfree.chart.renderer.category.junit.WaterfallBarRendererTests
33,org.jfree.chart.renderer.xy.junit.DeviationRendererTests
34,org.jfree.chart.block.junit.LabelBlockTests
35,org.jfree.chart.plot.junit.PolarPlotTests
36,org.jfree.chart.renderer.xy.junit.AbstractXYItemRendererTests
37,org.jfree.chart.junit.MeterChartTests
38,org.jfree.chart.plot.dial.junit.DialPlotTests
39,org.jfree.chart.renderer.xy.junit.ClusteredXYBarRendererTests
40,org.jfree.chart.block.junit.BlockContainerTests
41,org.jfree.chart.plot.junit.ThermometerPlotTests
42,org.jfree.chart.renderer.xy.junit.XYBlockRendererTests
43,org.jfree.chart.title.junit.LegendTitleTests
44,org.jfree.chart.renderer.xy.junit.CandlestickRendererTests
45,org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests
46,org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests
47,org.jfree.chart.renderer.category.junit.CategoryStepRendererTests
48,org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests
49,org.jfree.chart.renderer.xy.junit.XYDotRendererTests
50,org.jfree.chart.plot.junit.FastScatterPlotTests
51,org.jfree.chart.renderer.category.junit.AreaRendererTests
52,org.jfree.chart.renderer.xy.junit.YIntervalRendererTests
53,org.jfree.chart.renderer.junit.AbstractRendererTests
54,org.jfree.chart.plot.junit.MultiplePiePlotTests
55,org.jfree.chart.plot.junit.PiePlot3DTests
56,org.jfree.chart.renderer.category.junit.BarRendererTests
57,org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests
58,org.jfree.chart.junit.PieChart3DTests
59,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests
60,org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests
61,org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests
62,org.jfree.chart.junit.XYAreaChartTests
63,org.jfree.chart.renderer.category.junit.LevelRendererTests
64,org.jfree.chart.renderer.xy.junit.XYAreaRendererTests
65,org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests
66,org.jfree.chart.junit.XYBarChartTests
67,org.jfree.chart.junit.XYLineChartTests
68,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests
69,org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests
70,org.jfree.chart.renderer.xy.junit.XYBarRendererTests
71,org.jfree.chart.junit.ScatterPlotTests
72,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests
73,org.jfree.chart.junit.StackedAreaChartTests
74,org.jfree.chart.junit.WaterfallChartTests
75,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests
76,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests
77,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests
78,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests
79,org.jfree.chart.renderer.xy.junit.XYStepRendererTests
80,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests
81,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests
82,org.jfree.chart.junit.LineChartTests
83,org.jfree.chart.junit.StackedBarChart3DTests
84,org.jfree.chart.junit.TimeSeriesChartTests
85,org.jfree.chart.junit.XYStepAreaChartTests
86,org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests
87,org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests
88,org.jfree.chart.junit.BarChartTests
89,org.jfree.chart.junit.XYStepChartTests
90,org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests
91,org.jfree.chart.junit.BarChart3DTests
92,org.jfree.chart.junit.LineChart3DTests
93,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests
94,org.jfree.chart.plot.junit.PiePlotTests
95,org.jfree.chart.junit.AreaChartTests
96,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests
97,org.jfree.chart.junit.StackedBarChartTests
98,org.jfree.chart.junit.GanttChartTests
99,org.jfree.chart.plot.junit.CategoryPlotTests
100,org.jfree.chart.annotations.junit.XYBoxAnnotationTests
101,org.jfree.chart.plot.junit.XYPlotTests
102,org.jfree.chart.renderer.xy.junit.XYBoxAndWhiskerRendererTests
103,org.jfree.chart.plot.junit.SpiderWebPlotTests
104,org.jfree.chart.junit.JFreeChartTests
