TestNo,TestName
1,org.jfree.chart.labels.junit.StandardXYSeriesLabelGeneratorTests
2,org.jfree.data.xy.junit.IntervalXYDelegateTests
3,org.jfree.data.statistics.junit.RegressionTests
4,org.jfree.chart.labels.junit.BubbleXYItemLabelGeneratorTests
5,org.jfree.data.xy.junit.DefaultTableXYDatasetTests
6,org.jfree.data.xy.junit.TableXYDatasetTests
7,org.jfree.data.xy.junit.XYSeriesCollectionTests
8,org.jfree.chart.renderer.xy.junit.AbstractXYItemRendererTests
9,org.jfree.chart.axis.junit.ValueAxisTests
10,org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests
11,org.jfree.chart.renderer.xy.junit.XYDotRendererTests
12,org.jfree.chart.renderer.xy.junit.XYAreaRendererTests
13,org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests
14,org.jfree.chart.junit.XYStepAreaChartTests
15,org.jfree.chart.junit.XYBarChartTests
16,org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests
17,org.jfree.chart.junit.XYLineChartTests
18,org.jfree.chart.junit.XYAreaChartTests
19,org.jfree.chart.junit.XYStepChartTests
20,org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests
21,org.jfree.chart.renderer.xy.junit.XYStepRendererTests
22,org.jfree.chart.junit.TimeSeriesChartTests
23,org.jfree.chart.renderer.xy.junit.XYBarRendererTests
24,org.jfree.data.general.junit.DatasetUtilitiesTests
25,org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests
26,org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests
27,org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests
28,org.jfree.chart.axis.junit.NumberAxisTests
29,org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests
30,org.jfree.chart.plot.junit.CombinedRangeXYPlotTests
31,org.jfree.chart.axis.junit.LogAxisTests
32,org.jfree.chart.plot.junit.CombinedDomainXYPlotTests
33,org.jfree.chart.junit.ScatterPlotTests
34,org.jfree.chart.plot.junit.XYPlotTests
35,org.jfree.chart.annotations.junit.XYBoxAnnotationTests
