MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,LIVE
4,LIVE
5,LIVE
6,EXC
7,LIVE
8,LIVE
9,LIVE
10,FAIL
11,FAIL
12,LIVE
13,LIVE
14,EXC
15,LIVE
16,LIVE
17,FAIL
18,LIVE
19,FAIL
20,FAIL
21,LIVE
22,LIVE
23,FAIL
24,LIVE
25,LIVE
26,LIVE
27,FAIL
28,FAIL
29,EXC
30,LIVE
31,LIVE
32,EXC
33,LIVE
34,LIVE
35,LIVE
36,LIVE
37,LIVE
38,EXC
39,EXC
40,EXC
41,LIVE
42,EXC
43,LIVE
44,LIVE
45,LIVE
46,LIVE
47,LIVE
48,EXC
49,FAIL
50,FAIL
51,FAIL
52,FAIL
53,LIVE
54,FAIL
55,LIVE
56,EXC
57,FAIL
58,LIVE
59,EXC
60,EXC
61,FAIL
62,FAIL
63,EXC
64,EXC
65,LIVE
66,LIVE
67,EXC
68,LIVE
69,LIVE
70,LIVE
71,LIVE
72,LIVE
73,EXC
74,LIVE
75,LIVE
76,FAIL
77,LIVE
78,FAIL
79,LIVE
80,LIVE
81,LIVE
82,LIVE
83,LIVE
84,LIVE
88,FAIL
89,FAIL
90,FAIL
91,EXC
92,EXC
93,LIVE
95,EXC
96,LIVE
97,LIVE
98,EXC
99,LIVE
100,LIVE
101,LIVE
102,LIVE
103,EXC
104,EXC
105,LIVE
106,EXC
107,LIVE
108,LIVE
109,EXC
110,LIVE
112,LIVE
113,LIVE
114,LIVE
115,EXC
116,LIVE
117,LIVE
118,LIVE
119,LIVE
120,LIVE
121,LIVE
122,LIVE
123,LIVE
124,LIVE
125,LIVE
126,LIVE
127,LIVE
128,LIVE
129,LIVE
130,LIVE
131,LIVE
132,LIVE
133,LIVE
134,LIVE
135,LIVE
136,LIVE
137,LIVE
149,EXC
150,LIVE
158,LIVE
159,FAIL
160,FAIL
161,EXC
162,EXC
163,FAIL
164,EXC
165,LIVE
166,FAIL
167,FAIL
168,EXC
169,FAIL
170,EXC
171,FAIL
172,FAIL
173,LIVE
174,FAIL
175,EXC
176,EXC
177,EXC
178,EXC
179,FAIL
180,LIVE
181,EXC
182,FAIL
183,FAIL
184,LIVE
185,LIVE
186,LIVE
187,FAIL
188,EXC
189,FAIL
190,EXC
191,EXC
192,EXC
193,EXC
194,EXC
195,EXC
196,FAIL
197,FAIL
198,EXC
199,EXC
200,EXC
201,EXC
202,EXC
203,EXC
204,EXC
205,LIVE
206,LIVE
207,LIVE
208,EXC
209,EXC
210,LIVE
211,EXC
212,EXC
213,EXC
214,EXC
215,EXC
216,EXC
217,EXC
218,FAIL
219,FAIL
220,EXC
221,EXC
222,FAIL
223,EXC
224,LIVE
225,FAIL
226,LIVE
227,FAIL
228,LIVE
229,FAIL
230,LIVE
231,FAIL
232,LIVE
233,FAIL
234,EXC
235,EXC
236,EXC
237,EXC
238,LIVE
239,LIVE
240,LIVE
241,LIVE
242,LIVE
243,EXC
244,LIVE
245,EXC
246,FAIL
247,EXC
248,EXC
249,LIVE
250,LIVE
251,LIVE
252,LIVE
253,LIVE
254,EXC
255,LIVE
256,FAIL
257,LIVE
258,EXC
259,LIVE
260,EXC
261,EXC
262,EXC
263,EXC
264,EXC
265,EXC
266,EXC
267,LIVE
271,EXC
272,LIVE
273,LIVE
274,EXC
275,LIVE
276,LIVE
279,FAIL
280,LIVE
281,FAIL
282,FAIL
283,FAIL
284,FAIL
285,FAIL
286,FAIL
287,FAIL
288,LIVE
289,FAIL
290,FAIL
291,LIVE
292,FAIL
293,FAIL
294,LIVE
295,LIVE
296,LIVE
297,FAIL
298,FAIL
299,FAIL
300,FAIL
301,FAIL
302,FAIL
303,FAIL
304,FAIL
305,FAIL
306,FAIL
307,FAIL
308,FAIL
309,FAIL
310,FAIL
311,LIVE
312,FAIL
313,FAIL
314,LIVE
315,FAIL
316,LIVE
317,FAIL
318,FAIL
319,FAIL
320,LIVE
321,FAIL
322,FAIL
323,FAIL
324,FAIL
325,LIVE
326,FAIL
327,FAIL
328,FAIL
329,FAIL
330,FAIL
331,FAIL
332,FAIL
333,FAIL
334,FAIL
335,FAIL
336,FAIL
337,FAIL
338,FAIL
339,FAIL
340,LIVE
341,LIVE
342,FAIL
