MutantNo,[FAIL | TIME | EXC | LIVE]
5,EXC
13,LIVE
14,LIVE
21,LIVE
22,EXC
23,LIVE
24,LIVE
25,LIVE
26,LIVE
27,LIVE
28,LIVE
29,EXC
30,LIVE
31,LIVE
32,EXC
33,EXC
34,EXC
35,EXC
36,EXC
37,EXC
38,EXC
39,EXC
40,EXC
41,LIVE
42,LIVE
43,LIVE
44,LIVE
45,LIVE
46,EXC
47,EXC
48,LIVE
49,LIVE
50,LIVE
51,EXC
52,LIVE
53,LIVE
54,LIVE
55,EXC
56,FAIL
57,EXC
58,EXC
59,FAIL
60,EXC
61,EXC
62,EXC
63,EXC
64,LIVE
65,LIVE
66,LIVE
67,LIVE
68,LIVE
69,EXC
70,LIVE
71,EXC
72,LIVE
80,EXC
81,LIVE
82,EXC
83,EXC
84,EXC
85,EXC
86,EXC
87,LIVE
88,LIVE
89,EXC
90,LIVE
91,EXC
92,LIVE
93,EXC
94,LIVE
95,EXC
96,LIVE
97,LIVE
98,EXC
99,LIVE
100,LIVE
101,LIVE
102,EXC
103,LIVE
104,LIVE
105,LIVE
106,EXC
107,EXC
108,LIVE
109,LIVE
110,EXC
111,LIVE
112,EXC
113,EXC
114,LIVE
115,EXC
116,EXC
117,EXC
118,EXC
119,LIVE
120,LIVE
121,EXC
122,EXC
123,EXC
124,LIVE
125,LIVE
126,LIVE
127,FAIL
128,FAIL
129,FAIL
133,EXC
134,LIVE
135,LIVE
136,EXC
137,LIVE
138,EXC
139,EXC
140,EXC
141,EXC
148,LIVE
149,LIVE
150,LIVE
151,LIVE
152,LIVE
153,EXC
154,LIVE
155,EXC
156,LIVE
157,EXC
168,EXC
169,LIVE
170,LIVE
171,FAIL
172,FAIL
173,LIVE
174,LIVE
175,LIVE
176,FAIL
177,FAIL
178,FAIL
179,FAIL
180,LIVE
181,FAIL
182,LIVE
183,LIVE
184,LIVE
185,LIVE
186,LIVE
187,LIVE
188,LIVE
189,LIVE
190,LIVE
191,LIVE
192,LIVE
193,LIVE
194,LIVE
195,LIVE
196,LIVE
197,LIVE
198,LIVE
199,LIVE
200,LIVE
201,LIVE
202,LIVE
203,LIVE
204,LIVE
205,LIVE
206,EXC
207,EXC
208,FAIL
209,LIVE
210,FAIL
211,FAIL
212,LIVE
213,FAIL
214,FAIL
215,FAIL
216,FAIL
217,FAIL
218,EXC
219,LIVE
220,LIVE
221,FAIL
222,FAIL
223,LIVE
224,FAIL
225,FAIL
226,FAIL
227,FAIL
228,FAIL
229,LIVE
230,FAIL
231,LIVE
232,LIVE
233,FAIL
234,FAIL
235,LIVE
236,FAIL
237,LIVE
238,FAIL
239,EXC
240,FAIL
241,LIVE
242,LIVE
243,FAIL
244,LIVE
245,FAIL
246,FAIL
247,FAIL
248,FAIL
249,FAIL
250,EXC
251,LIVE
252,LIVE
253,LIVE
254,FAIL
255,LIVE
256,FAIL
257,FAIL
258,FAIL
259,FAIL
260,FAIL
261,LIVE
262,LIVE
263,LIVE
264,LIVE
265,LIVE
266,FAIL
267,LIVE
268,FAIL
269,LIVE
270,LIVE
271,LIVE
272,EXC
273,LIVE
274,LIVE
275,LIVE
276,LIVE
277,EXC
278,LIVE
279,EXC
280,EXC
286,LIVE
287,EXC
288,EXC
289,LIVE
290,LIVE
291,EXC
292,LIVE
293,EXC
294,LIVE
295,EXC
296,EXC
297,LIVE
298,LIVE
299,EXC
300,EXC
301,LIVE
302,LIVE
303,EXC
304,EXC
305,LIVE
306,EXC
307,EXC
308,EXC
309,EXC
310,EXC
311,LIVE
312,EXC
313,EXC
314,EXC
315,EXC
316,EXC
317,EXC
318,LIVE
319,LIVE
320,EXC
321,LIVE
322,EXC
323,EXC
324,LIVE
325,EXC
326,LIVE
327,LIVE
328,LIVE
329,EXC
330,EXC
331,EXC
332,EXC
333,EXC
334,LIVE
335,LIVE
336,EXC
337,LIVE
338,EXC
339,LIVE
340,LIVE
341,FAIL
342,LIVE
343,LIVE
344,LIVE
345,LIVE
346,LIVE
347,LIVE
348,EXC
349,EXC
350,EXC
351,LIVE
352,EXC
353,EXC
354,EXC
355,EXC
356,EXC
357,EXC
358,LIVE
359,LIVE
360,LIVE
361,LIVE
362,LIVE
363,EXC
364,EXC
365,LIVE
366,LIVE
367,LIVE
368,LIVE
369,LIVE
370,EXC
371,FAIL
372,LIVE
373,EXC
374,LIVE
375,EXC
376,LIVE
377,EXC
378,LIVE
379,LIVE
380,LIVE
381,EXC
382,EXC
383,FAIL
384,EXC
385,EXC
386,EXC
387,LIVE
388,EXC
389,EXC
390,FAIL
391,LIVE
392,EXC
393,EXC
394,LIVE
395,EXC
396,LIVE
397,LIVE
398,LIVE
399,EXC
400,EXC
401,LIVE
402,LIVE
403,LIVE
404,LIVE
405,LIVE
406,EXC
407,LIVE
408,EXC
409,LIVE
410,LIVE
411,EXC
412,EXC
413,LIVE
414,EXC
415,LIVE
416,LIVE
417,EXC
418,FAIL
419,FAIL
420,FAIL
421,FAIL
422,FAIL
423,FAIL
424,FAIL
425,FAIL
426,EXC
427,LIVE
428,EXC
429,LIVE
430,EXC
431,LIVE
432,LIVE
433,EXC
434,EXC
435,FAIL
436,LIVE
437,LIVE
438,EXC
439,EXC
440,EXC
441,EXC
442,EXC
443,LIVE
444,LIVE
445,EXC
446,LIVE
447,LIVE
448,EXC
449,EXC
450,LIVE
451,FAIL
452,LIVE
453,LIVE
454,FAIL
455,FAIL
456,LIVE
457,FAIL
458,FAIL
459,LIVE
460,FAIL
461,LIVE
462,EXC
463,LIVE
464,EXC
465,EXC
466,FAIL
467,FAIL
468,FAIL
469,FAIL
470,FAIL
471,FAIL
472,EXC
473,FAIL
474,FAIL
475,LIVE
476,EXC
477,EXC
478,FAIL
479,LIVE
480,LIVE
481,FAIL
482,FAIL
483,FAIL
484,LIVE
488,FAIL
489,FAIL
490,LIVE
491,EXC
492,LIVE
493,LIVE
494,EXC
495,LIVE
496,EXC
497,EXC
498,LIVE
499,LIVE
500,LIVE
501,EXC
506,FAIL
507,LIVE
508,FAIL
509,LIVE
510,FAIL
511,FAIL
512,LIVE
513,FAIL
514,FAIL
515,LIVE
516,EXC
517,FAIL
518,FAIL
519,FAIL
520,FAIL
521,FAIL
522,FAIL
523,FAIL
524,FAIL
525,FAIL
526,FAIL
527,FAIL
528,FAIL
529,FAIL
530,FAIL
531,FAIL
532,EXC
533,LIVE
534,FAIL
535,EXC
536,FAIL
537,FAIL
538,FAIL
539,EXC
540,FAIL
541,FAIL
542,EXC
543,FAIL
544,FAIL
545,FAIL
546,FAIL
547,FAIL
548,FAIL
549,FAIL
550,FAIL
551,LIVE
552,FAIL
553,FAIL
554,FAIL
555,LIVE
556,FAIL
557,LIVE
558,FAIL
559,FAIL
560,FAIL
561,FAIL
562,FAIL
563,FAIL
564,FAIL
565,FAIL
566,FAIL
567,FAIL
568,FAIL
569,FAIL
570,FAIL
591,LIVE
592,EXC
593,FAIL
594,FAIL
595,LIVE
596,FAIL
597,FAIL
598,LIVE
599,LIVE
600,FAIL
601,EXC
602,FAIL
603,EXC
604,EXC
605,EXC
606,EXC
607,LIVE
608,LIVE
609,LIVE
610,LIVE
611,LIVE
612,EXC
616,EXC
617,LIVE
618,EXC
619,LIVE
620,EXC
621,LIVE
622,LIVE
623,LIVE
624,LIVE
625,LIVE
626,LIVE
627,EXC
628,LIVE
629,LIVE
630,FAIL
631,EXC
632,LIVE
633,EXC
634,EXC
635,LIVE
636,LIVE
637,LIVE
638,LIVE
639,LIVE
640,LIVE
641,LIVE
642,LIVE
643,LIVE
644,LIVE
645,LIVE
646,LIVE
647,LIVE
648,LIVE
649,LIVE
650,LIVE
651,LIVE
652,LIVE
653,LIVE
654,LIVE
655,FAIL
656,FAIL
657,LIVE
658,FAIL
659,FAIL
660,FAIL
661,LIVE
662,LIVE
663,FAIL
664,FAIL
665,LIVE
666,FAIL
667,FAIL
668,LIVE
669,FAIL
670,FAIL
671,LIVE
672,FAIL
673,FAIL
674,LIVE
675,LIVE
676,LIVE
688,LIVE
689,LIVE
690,FAIL
691,LIVE
692,FAIL
693,LIVE
694,LIVE
695,EXC
696,EXC
697,LIVE
698,LIVE
699,LIVE
700,EXC
701,LIVE
702,EXC
703,EXC
704,LIVE
705,LIVE
706,EXC
707,LIVE
708,LIVE
709,LIVE
710,LIVE
711,EXC
712,LIVE
713,EXC
714,LIVE
715,EXC
716,FAIL
717,LIVE
718,LIVE
719,LIVE
720,EXC
721,LIVE
722,EXC
723,LIVE
724,EXC
725,EXC
726,LIVE
727,EXC
728,FAIL
729,LIVE
730,FAIL
731,EXC
732,EXC
733,EXC
734,FAIL
735,EXC
736,EXC
737,LIVE
738,LIVE
739,EXC
740,LIVE
741,LIVE
742,EXC
743,LIVE
744,LIVE
745,FAIL
746,FAIL
747,FAIL
748,EXC
