TestNo,TestName
1,org.jfree.data.junit.DataUtilitiesTests
2,org.jfree.data.general.junit.DefaultKeyedValuesDatasetTests
3,org.jfree.chart.labels.junit.StandardCategorySeriesLabelGeneratorTests
4,org.jfree.chart.urls.junit.StandardPieURLGeneratorTests
5,org.jfree.data.general.junit.DefaultKeyedValues2DDatasetTests
6,org.jfree.data.junit.KeyedObjectTests
7,org.jfree.chart.entity.junit.LegendItemEntityTests
8,org.jfree.data.general.junit.DefaultPieDatasetTests
9,org.jfree.chart.entity.junit.PieSectionEntityTests
10,org.jfree.chart.entity.junit.StandardEntityCollectionTests
11,org.jfree.data.category.junit.CategoryToPieDatasetTests
12,org.jfree.data.xy.junit.CategoryTableXYDatasetTests
13,org.jfree.chart.entity.junit.CategoryItemEntityTests
14,org.jfree.chart.labels.junit.StandardCategoryItemLabelGeneratorTests
15,org.jfree.data.junit.KeyedObjectsTests
16,org.jfree.data.time.junit.TimeTableXYDatasetTests
17,org.jfree.chart.junit.PieChartTests
18,org.jfree.data.general.junit.DatasetUtilitiesTests
19,org.jfree.chart.plot.junit.SpiderWebPlotTests
20,org.jfree.chart.renderer.category.junit.CategoryStepRendererTests
21,org.jfree.chart.renderer.category.junit.AreaRendererTests
22,org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests
23,org.jfree.chart.renderer.category.junit.BarRendererTests
24,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests
25,org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests
26,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests
27,org.jfree.chart.junit.PieChart3DTests
28,org.jfree.chart.junit.StackedBarChartTests
29,org.jfree.chart.junit.StackedAreaChartTests
30,org.jfree.chart.junit.StackedBarChart3DTests
31,org.jfree.chart.renderer.category.junit.LevelRendererTests
32,org.jfree.chart.junit.LineChartTests
33,org.jfree.chart.junit.BarChart3DTests
34,org.jfree.chart.plot.junit.PiePlotTests
35,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests
36,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests
37,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests
38,org.jfree.chart.junit.LineChart3DTests
39,org.jfree.chart.junit.BarChartTests
40,org.jfree.chart.axis.junit.NumberAxisTests
41,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests
42,org.jfree.chart.junit.WaterfallChartTests
43,org.jfree.chart.junit.AreaChartTests
44,org.jfree.chart.axis.junit.LogAxisTests
45,org.jfree.chart.plot.junit.CategoryPlotTests
46,org.jfree.chart.junit.JFreeChartTests
