MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,LIVE
4,LIVE
5,LIVE
6,EXC
7,LIVE
8,LIVE
9,LIVE
10,FAIL
11,FAIL
12,LIVE
13,LIVE
14,EXC
15,LIVE
16,LIVE
17,FAIL
18,LIVE
19,FAIL
20,FAIL
21,LIVE
22,LIVE
23,FAIL
24,LIVE
25,LIVE
26,LIVE
27,FAIL
28,FAIL
29,EXC
30,EXC
31,LIVE
32,EXC
33,LIVE
34,LIVE
35,LIVE
36,LIVE
37,LIVE
38,EXC
39,LIVE
40,FAIL
41,LIVE
42,LIVE
43,LIVE
44,FAIL
45,LIVE
46,FAIL
47,LIVE
48,LIVE
49,LIVE
50,LIVE
51,LIVE
52,LIVE
56,FAIL
57,FAIL
58,FAIL
59,EXC
60,EXC
61,LIVE
63,EXC
64,LIVE
65,LIVE
66,EXC
67,LIVE
68,LIVE
69,LIVE
70,LIVE
71,EXC
72,EXC
73,LIVE
74,EXC
75,LIVE
76,LIVE
77,EXC
78,LIVE
80,LIVE
81,LIVE
82,LIVE
83,EXC
84,LIVE
85,LIVE
86,LIVE
87,LIVE
88,LIVE
89,LIVE
90,LIVE
91,LIVE
92,LIVE
93,LIVE
94,LIVE
95,LIVE
96,LIVE
97,LIVE
98,LIVE
99,LIVE
100,LIVE
101,LIVE
102,LIVE
103,LIVE
104,LIVE
105,LIVE
117,EXC
118,LIVE
126,LIVE
127,FAIL
128,FAIL
129,EXC
130,EXC
131,FAIL
132,EXC
133,LIVE
134,FAIL
135,FAIL
136,EXC
137,FAIL
138,EXC
139,FAIL
140,FAIL
141,LIVE
142,FAIL
143,EXC
144,EXC
145,EXC
146,EXC
147,FAIL
148,LIVE
149,EXC
150,FAIL
151,FAIL
152,LIVE
153,LIVE
154,LIVE
155,FAIL
156,EXC
157,FAIL
158,EXC
159,EXC
160,EXC
161,EXC
162,EXC
163,EXC
164,FAIL
165,FAIL
166,EXC
167,EXC
168,EXC
169,EXC
170,EXC
171,EXC
172,EXC
173,LIVE
174,LIVE
175,LIVE
176,EXC
177,EXC
178,LIVE
179,EXC
180,EXC
181,EXC
182,EXC
183,EXC
184,EXC
185,EXC
186,FAIL
187,FAIL
188,EXC
189,EXC
190,FAIL
191,EXC
192,LIVE
193,FAIL
194,LIVE
195,FAIL
196,LIVE
197,FAIL
198,LIVE
199,FAIL
200,LIVE
201,FAIL
202,EXC
203,EXC
204,EXC
205,EXC
206,LIVE
207,LIVE
208,LIVE
209,LIVE
210,LIVE
211,EXC
212,LIVE
213,EXC
214,FAIL
215,EXC
216,EXC
217,LIVE
218,LIVE
219,LIVE
220,LIVE
221,LIVE
222,EXC
223,LIVE
224,FAIL
225,LIVE
226,EXC
227,LIVE
228,EXC
229,EXC
230,EXC
231,FAIL
232,EXC
233,EXC
234,EXC
235,LIVE
239,EXC
240,LIVE
241,LIVE
242,EXC
243,LIVE
244,LIVE
247,FAIL
248,LIVE
249,FAIL
250,FAIL
251,FAIL
252,FAIL
253,FAIL
254,FAIL
255,FAIL
256,LIVE
257,FAIL
258,FAIL
259,LIVE
260,FAIL
261,FAIL
262,LIVE
263,LIVE
264,LIVE
265,FAIL
266,FAIL
267,FAIL
268,FAIL
269,FAIL
270,FAIL
271,FAIL
272,FAIL
273,FAIL
274,FAIL
275,FAIL
276,FAIL
277,FAIL
278,FAIL
279,LIVE
280,FAIL
281,FAIL
282,LIVE
283,FAIL
284,LIVE
285,FAIL
286,FAIL
287,FAIL
288,LIVE
289,FAIL
290,FAIL
291,FAIL
292,FAIL
293,LIVE
294,FAIL
295,FAIL
296,FAIL
297,FAIL
298,FAIL
299,FAIL
300,FAIL
301,FAIL
302,FAIL
303,FAIL
304,FAIL
305,FAIL
306,FAIL
307,FAIL
308,FAIL
309,FAIL
310,FAIL
