TestNo,TestName
1,org.apache.commons.math3.optim.univariate.MultiStartUnivariateOptimizerTest
2,org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionPenaltyAdapterTest
3,org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizerTest
4,org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapterTest
5,org.apache.commons.math3.optim.nonlinear.vector.MultiStartMultivariateVectorOptimizerTest
6,org.apache.commons.math3.fitting.CurveFitterTest
7,org.apache.commons.math3.optim.univariate.BrentOptimizerTest
8,org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest
9,org.apache.commons.math3.fitting.HarmonicFitterTest
10,org.apache.commons.math3.fitting.GaussianFitterTest
11,org.apache.commons.math3.optim.linear.SimplexSolverTest
12,org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest
13,org.apache.commons.math3.fitting.PolynomialFitterTest
14,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest
