MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,LIVE
3,EXC
4,FAIL
5,LIVE
6,EXC
7,EXC
8,EXC
9,FAIL
10,EXC
11,FAIL
12,EXC
13,EXC
14,FAIL
15,LIVE
16,EXC
17,FAIL
18,EXC
19,FAIL
20,FAIL
21,EXC
22,FAIL
23,LIVE
24,EXC
25,FAIL
26,LIVE
27,EXC
28,EXC
29,EXC
30,FAIL
31,EXC
32,FAIL
37,LIVE
38,EXC
39,LIVE
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,LIVE
47,FAIL
48,FAIL
49,FAIL
50,FAIL
51,FAIL
52,FAIL
53,FAIL
54,FAIL
55,FAIL
56,LIVE
57,FAIL
58,FAIL
59,FAIL
60,LIVE
61,LIVE
62,FAIL
63,LIVE
64,FAIL
65,FAIL
66,LIVE
67,EXC
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,LIVE
78,LIVE
79,EXC
80,LIVE
81,LIVE
82,LIVE
83,LIVE
84,EXC
85,EXC
86,EXC
87,EXC
88,EXC
89,EXC
90,EXC
91,LIVE
92,LIVE
93,FAIL
94,EXC
95,LIVE
96,EXC
97,EXC
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,LIVE
103,EXC
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,FAIL
109,EXC
110,EXC
111,LIVE
112,LIVE
113,LIVE
114,EXC
1274,EXC
1275,EXC
1276,LIVE
1277,LIVE
1278,EXC
1279,EXC
1280,LIVE
1281,EXC
1282,FAIL
1283,FAIL
1284,EXC
1285,FAIL
1286,FAIL
1287,EXC
1288,FAIL
1289,LIVE
1290,EXC
1291,EXC
1292,LIVE
1293,LIVE
1294,LIVE
1295,EXC
1296,LIVE
1297,LIVE
1298,EXC
1299,EXC
1300,LIVE
1301,EXC
1302,EXC
1303,FAIL
1304,FAIL
1305,EXC
1306,EXC
1307,LIVE
1308,EXC
1309,FAIL
1310,FAIL
1311,FAIL
1312,FAIL
1313,FAIL
1314,LIVE
1315,EXC
1316,EXC
1317,EXC
1318,FAIL
1319,EXC
1320,EXC
1321,LIVE
1322,EXC
1323,EXC
1324,EXC
1325,FAIL
1326,EXC
1327,EXC
1328,LIVE
1329,EXC
1330,LIVE
1331,EXC
1332,FAIL
1333,EXC
1334,EXC
1335,FAIL
1336,EXC
1337,EXC
1338,LIVE
1339,LIVE
1340,LIVE
1341,EXC
1342,LIVE
1343,EXC
1344,FAIL
1345,LIVE
1346,EXC
1347,FAIL
1348,FAIL
1349,FAIL
1350,LIVE
1351,EXC
1352,FAIL
1353,LIVE
1354,FAIL
1355,FAIL
1356,FAIL
1357,FAIL
1358,FAIL
1359,FAIL
1360,FAIL
1361,FAIL
1362,FAIL
1363,FAIL
1364,LIVE
1365,FAIL
1366,FAIL
1367,FAIL
1368,FAIL
1369,FAIL
