MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,FAIL
5,LIVE
6,LIVE
7,LIVE
8,LIVE
9,EXC
10,LIVE
11,LIVE
12,FAIL
13,FAIL
17,LIVE
18,LIVE
19,EXC
20,FAIL
24,LIVE
44,LIVE
45,LIVE
46,LIVE
47,EXC
69,EXC
70,EXC
71,LIVE
72,LIVE
73,LIVE
74,EXC
75,LIVE
76,LIVE
77,LIVE
78,EXC
79,EXC
80,EXC
81,LIVE
82,LIVE
83,LIVE
84,EXC
85,LIVE
86,LIVE
87,LIVE
88,EXC
95,EXC
96,EXC
97,LIVE
98,LIVE
99,LIVE
100,EXC
101,LIVE
102,LIVE
103,LIVE
104,EXC
105,EXC
106,EXC
107,LIVE
108,LIVE
109,LIVE
110,EXC
111,LIVE
112,LIVE
113,LIVE
114,EXC
154,LIVE
155,EXC
156,FAIL
157,LIVE
158,LIVE
159,LIVE
160,LIVE
163,LIVE
164,LIVE
165,EXC
166,EXC
167,EXC
168,LIVE
169,LIVE
170,LIVE
171,LIVE
172,EXC
