MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,LIVE
5,LIVE
6,EXC
7,LIVE
8,FAIL
9,LIVE
10,LIVE
11,EXC
12,LIVE
13,LIVE
14,LIVE
15,EXC
16,FAIL
17,LIVE
18,EXC
19,FAIL
20,EXC
21,EXC
22,LIVE
27,LIVE
28,EXC
29,FAIL
30,LIVE
31,LIVE
32,EXC
33,LIVE
34,LIVE
40,LIVE
45,EXC
46,EXC
47,EXC
48,EXC
49,EXC
50,LIVE
51,LIVE
56,LIVE
57,EXC
58,FAIL
59,LIVE
60,LIVE
61,LIVE
62,LIVE
63,LIVE
64,LIVE
65,EXC
66,EXC
67,FAIL
68,EXC
69,LIVE
70,EXC
71,EXC
72,EXC
73,EXC
74,EXC
75,EXC
76,EXC
77,LIVE
78,LIVE
79,EXC
80,EXC
81,EXC
82,FAIL
83,EXC
84,EXC
85,EXC
86,EXC
87,LIVE
88,EXC
89,LIVE
90,EXC
91,LIVE
92,EXC
93,EXC
94,EXC
95,EXC
96,EXC
97,EXC
98,EXC
99,EXC
100,EXC
101,EXC
102,EXC
103,EXC
104,EXC
105,EXC
106,EXC
107,EXC
108,EXC
109,EXC
110,EXC
111,EXC
112,EXC
113,EXC
114,EXC
115,EXC
116,EXC
117,LIVE
118,FAIL
119,FAIL
120,FAIL
121,LIVE
122,EXC
123,FAIL
124,EXC
125,EXC
126,EXC
127,EXC
128,EXC
129,EXC
130,EXC
131,FAIL
132,FAIL
133,EXC
134,FAIL
135,EXC
136,EXC
137,EXC
138,EXC
139,EXC
140,FAIL
141,EXC
142,FAIL
143,EXC
144,EXC
145,EXC
146,EXC
147,LIVE
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,FAIL
153,FAIL
154,FAIL
155,FAIL
156,EXC
157,FAIL
158,FAIL
159,LIVE
160,LIVE
161,LIVE
162,EXC
163,FAIL
164,LIVE
165,EXC
166,FAIL
167,FAIL
168,FAIL
169,EXC
170,LIVE
171,EXC
172,FAIL
173,FAIL
174,FAIL
175,FAIL
176,EXC
177,LIVE
178,EXC
179,FAIL
180,FAIL
181,FAIL
182,FAIL
183,EXC
184,LIVE
185,FAIL
186,LIVE
187,LIVE
188,FAIL
189,FAIL
190,EXC
191,EXC
192,EXC
193,EXC
194,LIVE
195,LIVE
196,EXC
197,LIVE
198,EXC
199,FAIL
200,LIVE
201,FAIL
202,FAIL
203,EXC
204,EXC
205,EXC
206,EXC
207,EXC
208,LIVE
209,LIVE
