MutantNo,[FAIL | TIME | EXC | LIVE]
8,LIVE
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,EXC
14,FAIL
15,EXC
16,FAIL
17,EXC
18,EXC
19,EXC
20,FAIL
21,LIVE
22,FAIL
23,EXC
24,FAIL
25,EXC
26,EXC
27,LIVE
28,FAIL
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,EXC
34,EXC
35,EXC
36,LIVE
37,LIVE
38,LIVE
39,LIVE
40,LIVE
41,FAIL
42,LIVE
43,LIVE
44,FAIL
45,FAIL
46,FAIL
47,FAIL
48,LIVE
49,FAIL
50,FAIL
51,LIVE
52,FAIL
53,FAIL
54,FAIL
55,LIVE
56,FAIL
57,FAIL
58,FAIL
59,EXC
60,FAIL
61,FAIL
62,EXC
63,FAIL
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,LIVE
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,LIVE
88,FAIL
89,FAIL
90,FAIL
92,EXC
93,FAIL
94,LIVE
95,FAIL
96,LIVE
105,LIVE
106,FAIL
107,FAIL
108,LIVE
109,LIVE
110,LIVE
111,LIVE
112,FAIL
113,LIVE
114,FAIL
115,LIVE
116,LIVE
117,FAIL
118,LIVE
119,LIVE
120,FAIL
121,LIVE
122,LIVE
123,FAIL
124,LIVE
125,LIVE
126,FAIL
127,LIVE
128,LIVE
129,FAIL
130,LIVE
131,LIVE
132,FAIL
133,LIVE
134,LIVE
135,FAIL
136,LIVE
137,LIVE
138,FAIL
139,LIVE
140,LIVE
141,FAIL
142,LIVE
143,LIVE
144,FAIL
145,LIVE
146,LIVE
147,FAIL
148,LIVE
149,LIVE
150,FAIL
151,LIVE
152,LIVE
153,FAIL
154,LIVE
155,LIVE
156,FAIL
157,LIVE
158,LIVE
159,FAIL
160,LIVE
161,LIVE
162,LIVE
163,EXC
164,LIVE
165,EXC
166,EXC
174,LIVE
175,EXC
176,FAIL
177,EXC
178,FAIL
179,EXC
180,FAIL
181,EXC
182,FAIL
183,LIVE
184,LIVE
185,LIVE
186,LIVE
187,LIVE
188,FAIL
189,EXC
190,FAIL
191,EXC
192,LIVE
193,LIVE
194,FAIL
195,EXC
196,LIVE
197,EXC
198,FAIL
199,EXC
200,LIVE
201,LIVE
202,FAIL
203,FAIL
204,LIVE
205,LIVE
206,FAIL
207,LIVE
208,LIVE
209,LIVE
210,FAIL
211,LIVE
212,FAIL
213,LIVE
214,LIVE
215,FAIL
216,LIVE
217,LIVE
218,FAIL
219,TIME
220,FAIL
221,FAIL
222,LIVE
223,FAIL
224,FAIL
225,LIVE
226,LIVE
227,FAIL
228,LIVE
229,FAIL
230,EXC
231,FAIL
232,FAIL
233,EXC
234,EXC
235,FAIL
236,FAIL
237,FAIL
238,FAIL
239,EXC
240,EXC
241,EXC
242,FAIL
243,EXC
244,EXC
245,EXC
246,LIVE
247,FAIL
248,FAIL
249,FAIL
250,FAIL
251,FAIL
252,FAIL
253,FAIL
254,FAIL
255,FAIL
256,FAIL
257,FAIL
258,FAIL
259,FAIL
260,FAIL
261,EXC
262,FAIL
263,FAIL
264,LIVE
265,FAIL
266,FAIL
267,FAIL
268,FAIL
269,FAIL
270,FAIL
271,FAIL
272,FAIL
273,FAIL
274,FAIL
275,LIVE
276,FAIL
277,FAIL
278,FAIL
279,FAIL
280,LIVE
281,LIVE
282,FAIL
283,FAIL
284,FAIL
285,FAIL
287,LIVE
288,FAIL
289,EXC
290,FAIL
291,LIVE
292,FAIL
293,EXC
294,FAIL
295,LIVE
296,FAIL
297,LIVE
298,EXC
299,FAIL
300,FAIL
301,LIVE
302,LIVE
303,LIVE
304,EXC
305,FAIL
306,LIVE
307,EXC
308,FAIL
309,FAIL
310,FAIL
311,LIVE
312,FAIL
313,LIVE
314,LIVE
315,FAIL
316,LIVE
317,LIVE
318,FAIL
319,LIVE
320,LIVE
321,FAIL
322,LIVE
323,LIVE
324,FAIL
325,LIVE
326,LIVE
327,FAIL
328,LIVE
329,LIVE
330,FAIL
331,LIVE
332,LIVE
333,FAIL
334,LIVE
335,LIVE
336,FAIL
337,EXC
338,FAIL
339,EXC
340,EXC
